PlayerNBAId,PlayerNBAName,PlayerNBABirthDate,PlayerBREFId,PlayerBREFName,PlayerBREFBirthDate
2,Byron Scott,1961-03-28,scottby01,Byron Scott,1961-03-28
3,Grant Long,1966-03-12,longgr01,Grant Long,1966-03-12
7,Dan Schayes,1959-05-10,schayda01,Danny Schayes,1959-05-10
9,Sedale Threatt,1961-09-10,threase01,Sedale Threatt,1961-09-10
12,Chris King,1969-07-24,kingch01,Chris King,1969-07-24
15,Eric Piatkowski,1970-09-30,piatker01,Eric Piatkowski,1970-09-30
17,Clyde Drexler,1962-06-22,drexlcl01,Clyde Drexler,1962-06-22
21,Greg Anthony,1967-11-15,anthogr01,Greg Anthony,1967-11-15
22,Rik Smits,1966-08-23,smitsri01,Rik Smits,1966-08-23
23,Dennis Rodman,1961-05-13,rodmade01,Dennis Rodman,1961-05-13
24,Keith Jennings,1968-11-02,jennike01,Keith Jennings,1968-11-02
26,Luc Longley,1969-01-19,longllu01,Luc Longley,1969-01-19
28,Doug West,1967-05-27,westdo01,Doug West,1967-05-27
29,Jim McIlvaine,1972-07-30,mcilvji01,Jim McIlvaine,1972-07-30
30,Richard Dumas,1969-05-19,dumasri02,Richard Dumas,1969-05-19
31,Lorenzo Williams,1969-07-15,willilo01,Lorenzo Williams,1969-07-15
32,Clifford Rozier,1972-10-31,roziecl01,Clifford Rozier,1972-10-31
35,Eric Riley,1970-06-02,rileyer01,Eric Riley,1970-06-02
36,Sarunas Marciulionis,1964-06-13,marcisa01,arunas Marciulionis,1964-06-13
37,Greg Graham,1970-11-26,grahagr01,Greg Graham,1970-11-26
38,Brad Lohaus,1964-09-29,lohaubr01,Brad Lohaus,1964-09-29
41,Anthony Bonner,1968-06-08,bonnean01,Anthony Bonner,1968-06-08
42,Monty Williams,1971-10-08,willimo01,Monty Williams,1971-10-08
43,Chris Whitney,1971-10-05,whitnch01,Chris Whitney,1971-10-05
45,George McCloud,1967-05-27,mccloge01,George McCloud,1967-05-27
46,Mike Peplowski,1970-10-15,peplomi01,Mike Peplowski,1970-10-15
47,Wayman Tisdale,1964-06-09,tisdawa01,Wayman Tisdale,1964-06-09
49,Gheorghe Muresan,1971-02-14,muresgh01,Gheorghe Mure?an,1971-02-14
51,Mahmoud Abdul-Rauf,1969-03-09,abdulma02,Mahmoud Abdul-Rauf,1969-03-09
52,Micheal Williams,1966-07-23,willimi02,Micheal Williams,1966-07-23
53,Mario Elie,1963-11-26,eliema01,Mario Elie,1963-11-26
54,Dickey Simpkins,1972-04-06,simpkdi01,Dickey Simpkins,1972-04-06
55,Marty Conlon,1968-01-19,conloma01,Marty Conlon,1968-01-19
56,Gary Payton,1968-07-23,paytoga01,Gary Payton,1968-07-23
57,Doug Christie,1970-05-09,chrisdo01,Doug Christie,1970-05-09
61,Carl Herrera,1966-12-14,herreca01,Carl Herrera,1966-12-14
63,Michael Smith,1972-03-28,smithmi02,Michael Smith,1972-03-28
64,Sam Perkins,1961-06-14,perkisa01,Sam Perkins,1961-06-14
65,Greg Minor,1971-09-18,minorgr01,Greg Minor,1971-09-18
66,Marques Bragg,1970-03-24,braggma01,Marques Bragg,1970-03-24
67,Tom Hammonds,1967-03-27,hammoto01,Tom Hammonds,1967-03-27
70,Steve Kerr,1965-09-27,kerrst01,Steve Kerr,1965-09-27
71,Pooh Richardson,1966-05-14,richapo01,Pooh Richardson,1966-05-14
72,Kenny Anderson,1970-10-09,anderke01,Kenny Anderson,1970-10-09
73,Hot Rod Williams,1962-08-09,williho01,Hot Rod Williams,1962-08-09
74,Derrick Phelps,1972-07-31,phelpde01,Derrick Phelps,1972-07-31
76,Cedric Ceballos,1969-08-02,cebalce01,Cedric Ceballos,1969-08-02
77,Doug Overton,1969-08-03,overtdo01,Doug Overton,1969-08-03
78,LaSalle Thompson,1961-06-23,thompla01,LaSalle Thompson,1961-06-23
80,Ken Norman,1964-09-05,normake01,Ken Norman,1964-09-05
81,Jeff Grayer,1965-12-17,grayeje01,Jeff Grayer,1965-12-17
82,Bill Wennington,1963-04-26,wennibi01,Bill Wennington,1963-04-26
84,Latrell Sprewell,1970-09-08,sprewla01,Latrell Sprewell,1970-09-08
85,Brent Price,1968-12-09,pricebr01,Brent Price,1968-12-09
87,Dikembe Mutombo,1966-06-25,mutomdi01,Dikembe Mutombo,1966-06-25
88,Steve Scheffler,1967-09-03,schefst01,Steve Scheffler,1967-09-03
89,Nick Van Exel,1971-11-27,vanexni01,Nick Van Exel,1971-11-27
93,Hubert Davis,1970-05-17,davishu01,Hubert Davis,1970-05-17
95,Mark Bryant,1965-04-25,bryanma01,Mark Bryant,1965-04-25
96,Detlef Schrempf,1963-01-21,schrede01,Detlef Schrempf,1963-01-21
97,Ronnie Grandison,1964-07-09,grandro01,Ron Grandison,1964-07-09
98,Nick Anderson,1968-01-20,anderni01,Nick Anderson,1968-01-20
100,Tim Legler,1966-12-26,legleti01,Tim Legler,1966-12-26
101,Scott Skiles,1964-03-05,skilesc01,Scott Skiles,1964-03-05
103,Todd Day,1970-01-07,dayto01,Todd Day,1970-01-07
104,Benoit Benjamin,1964-11-22,benjabe01,Benoit Benjamin,1964-11-22
105,Dan Majerle,1965-09-09,majerda01,Dan Majerle,1965-09-09
107,Dale Ellis,1960-08-06,ellisda01,Dale Ellis,1960-08-06
109,Robert Horry,1970-08-25,horryro01,Robert Horry,1970-08-25
111,LaPhonso Ellis,1970-05-05,ellisla01,LaPhonso Ellis,1970-05-05
112,Dontonio Wingfield,1974-06-23,wingfdo01,Dontonio Wingfield,1974-06-23
114,Harold Miner,1971-05-05,minerha01,Harold Miner,1971-05-05
116,David Wood,1964-11-30,woodda01,David Wood,1964-11-30
117,Jeff Malone,1961-06-28,malonje01,Jeff Malone,1961-06-28
120,Steven Smith,1969-03-31,smithst01,Steve Smith,1969-03-31
121,Patrick Ewing,1962-08-05,ewingpa01,Patrick Ewing,1962-08-05
122,Fred Roberts,1960-08-14,roberfr01,Fred Roberts,1960-08-14
123,Robert Pack,1969-02-03,packro01,Robert Pack,1969-02-03
124,Vlade Divac,1968-02-03,divacvl01,Vlade Divac,1968-02-03
128,David Benoit,1968-05-09,benoida01,David Benoit,1968-05-09
129,Dino Radja,1967-04-24,radjadi01,Dino Rada,1967-04-24
132,Dwayne Morton,1971-08-08,mortodw01,Dwayne Morton,1971-08-08
133,David Wesley,1970-11-14,wesleda01,David Wesley,1970-11-14
134,Kevin Johnson,1966-03-04,johnske02,Kevin Johnson,1966-03-04
136,P.J. Brown,1969-10-14,brownpj01,P.J. Brown,1969-10-14
137,Vernon Maxwell,1965-09-12,maxweve01,Vernon Maxwell,1965-09-12
138,Anthony Avent,1969-10-18,aventan01,Anthony Avent,1969-10-18
140,Donald Royal,1966-05-22,royaldo01,Donald Royal,1966-05-22
141,Anthony Tucker,1969-04-04,tuckean01,Anthony Tucker,1969-04-04
143,Terry Dehere,1971-09-12,deherte01,Terry Dehere,1971-09-12
145,Tracy Murray,1971-07-25,murratr01,Tracy Murray,1971-07-25
146,Jud Buechler,1968-06-19,buechju01,Jud Buechler,1968-06-19
147,Jalen Rose,1973-01-30,roseja01,Jalen Rose,1973-01-30
149,Michael Adams,1963-01-19,adamsmi01,Michael Adams,1963-01-19
154,Adrian Caldwell,1966-07-04,caldwad01,Adrian Caldwell,1966-07-04
156,Antoine Carr,1961-07-23,carran01,Antoine Carr,1961-07-23
157,Derek Harper,1961-10-13,harpede01,Derek Harper,1961-10-13
160,Tim Breaux,1970-09-19,breauti01,Tim Breaux,1970-09-19
164,Chris Childs,1967-11-20,childch01,Chris Childs,1967-11-20
165,Hakeem Olajuwon,1963-01-21,olajuha01,Hakeem Olajuwon,1963-01-21
166,Ron Harper,1964-01-20,harpero01,Ron Harper,1964-01-20
168,Chris Mills,1970-01-25,millsch01,Chris Mills,1970-01-25
170,Joe Kleine,1962-01-04,kleinjo01,Joe Kleine,1962-01-04
173,Keith Askins,1967-12-15,askinke01,Keith Askins,1967-12-15
174,John Battle,1962-11-09,battljo01,John Battle,1962-11-09
175,Alton Lister,1958-10-01,listeal01,Alton Lister,1958-10-01
176,Antonio Harvey,1970-07-06,harvean01,Antonio Harvey,1970-07-06
177,Muggsy Bogues,1965-01-09,boguemu01,Muggsy Bogues,1965-01-09
178,Olden Polynice,1964-11-21,polynol01,Olden Polynice,1964-11-21
179,Bryant Stith,1970-12-10,stithbr01,Bryant Stith,1970-12-10
180,John Crotty,1969-07-15,crottjo01,John Crotty,1969-07-15
181,Kenny Smith,1965-03-08,smithke01,Kenny Smith,1965-03-08
182,Billy Owens,1969-05-01,owensbi01,Billy Owens,1969-05-01
183,Bison Dele,1969-04-06,delebi01,Bison Dele,1969-04-06
184,Bobby Phills,1969-12-20,phillbo01,Bobby Phills,1969-12-20
185,Chris Webber,1973-03-01,webbech01,Chris Webber,1973-03-01
187,Terry Cummings,1961-03-15,cummite01,Terry Cummings,1961-03-15
189,B.J. Tyler,1971-04-30,tylerbj01,B.J. Tyler,1971-04-30
190,Duane Causwell,1968-05-31,causwdu01,Duane Causwell,1968-05-31
192,Dennis Scott,1968-09-05,scottde01,Dennis Scott,1968-09-05
193,Anthony Mason,1966-12-14,masonan01,Anthony Mason,1966-12-14
194,Anthony Bowie,1963-11-09,bowiean01,Anthony Bowie,1963-11-09
195,Lee Mayberry,1970-06-12,maybele01,Lee Mayberry,1970-06-12
197,Scott Burrell,1971-01-12,burresc01,Scott Burrell,1971-01-12
198,Danny Ferry,1966-10-17,ferryda01,Danny Ferry,1966-10-17
199,Reggie Williams,1964-03-05,willire01,Reggie Williams,1964-03-05
201,Chris Dudley,1965-02-22,dudlech02,Chris Dudley,1965-02-22
202,Gary Grant,1965-04-21,grantga01,Gary Grant,1965-04-21
203,Nate McMillan,1964-08-03,mcmilna01,Nate McMillan,1964-08-03
204,Jeff Hornacek,1963-05-03,hornaje01,Jeff Hornacek,1963-05-03
208,Sam Cassell,1969-11-18,cassesa01,Sam Cassell,1969-11-18
209,Dell Curry,1964-06-25,curryde01,Dell Curry,1964-06-25
210,Terrell Brandon,1970-05-20,brandte01,Terrell Brandon,1970-05-20
211,Eric Mobley,1970-02-01,mobleer01,Eric Mobley,1970-02-01
212,Yinka Dare,1972-10-10,dareyi01,Yinka Dare,1972-10-10
213,Antonio Davis,1968-10-31,davisan01,Antonio Davis,1968-10-31
216,Brian Shaw,1966-03-22,shawbr01,Brian Shaw,1966-03-22
219,Vinny Del Negro,1966-08-09,delnevi01,Vinny Del Negro,1966-08-09
221,Clar. Weatherspoon,1970-09-08,weathcl01,Clarence Weatherspoon,1970-09-08
223,Bill Curley,1972-05-29,curlebi01,Bill Curley,1972-05-29
224,Eddie Jones,1971-10-20,jonesed02,Eddie Jones,1971-10-20
226,Antonio Lang,1972-05-15,langan02,Antonio Lang,1972-05-15
228,Adam Keefe,1970-02-22,keefead01,Adam Keefe,1970-02-22
229,James Edwards,1955-11-22,edwarja01,James Edwards,1955-11-22
234,Khalid Reeves,1972-07-15,reevekh01,Khalid Reeves,1972-07-15
236,Kevin Edwards,1965-10-30,edwarke01,Kevin Edwards,1965-10-30
238,Tyrone Hill,1968-03-19,hillty01,Tyrone Hill,1968-03-19
239,Darrick Martin,1971-03-06,martida01,Darrick Martin,1971-03-06
240,Brooks Thompson,1970-07-19,thompbr01,Brooks Thompson,1970-07-19
241,Darrin Hancock,1971-11-03,hancoda01,Darrin Hancock,1971-11-03
243,Aaron McKie,1972-10-02,mckieaa01,Aaron McKie,1972-10-02
244,Dee Brown,1968-11-29,brownde01,Dee Brown,1968-11-29
246,Greg Anderson,1964-06-22,andergr01,Greg Anderson,1964-06-22
247,Joe Dumars,1963-05-24,dumarjo01,Joe Dumars,1963-05-24
248,George Lynch,1970-09-03,lynchge01,George Lynch,1970-09-03
251,Sean Elliott,1968-02-02,elliose01,Sean Elliott,1968-02-02
252,Karl Malone,1963-07-24,malonka01,Karl Malone,1963-07-24
255,Grant Hill,1972-10-05,hillgr01,Grant Hill,1972-10-05
258,Brian Grant,1972-03-05,grantbr01,Brian Grant,1972-03-05
262,Michael Cage,1962-01-28,cagemi01,Michael Cage,1962-01-28
265,Harvey Grant,1965-07-04,grantha01,Harvey Grant,1965-07-04
270,Horace Grant,1965-07-04,grantho01,Horace Grant,1965-07-04
271,Johnny Newman,1963-11-28,newmajo01,Johnny Newman,1963-11-28
273,Duane Ferrell,1965-02-28,ferredu01,Duane Ferrell,1965-02-28
275,Allan Houston,1971-04-20,houstal01,Allan Houston,1971-04-20
278,Stacey Augmon,1968-08-01,augmost01,Stacey Augmon,1968-08-01
279,Charles Jones,1957-04-03,jonesch01,Charles Jones,1957-04-03
280,Felton Spencer,1968-01-15,spencfe01,Felton Spencer,1968-01-15
281,Scott Williams,1968-03-21,willisc01,Scott Williams,1968-03-21
283,Lindsey Hunter,1970-12-03,hunteli01,Lindsey Hunter,1970-12-03
285,Greg Grant,1966-08-29,grantgr01,Greg Grant,1966-08-29
287,Eric Leckner,1966-05-27,leckner01,Eric Leckner,1966-05-27
288,Armen Gilliam,1964-05-28,gilliar01,Armen Gilliam,1964-05-28
289,Ledell Eackles,1966-11-24,eacklle01,Ledell Eackles,1966-11-24
291,Ed Pinckney,1963-03-27,pincked01,Ed Pinckney,1963-03-27
292,Anthony Miller,1971-10-22,millean01,Anthony Miller,1971-10-22
293,Charles Smith,1965-07-16,smithch01,Charles Smith,1965-07-16
296,Rick Fox,1969-07-24,foxri01,Rick Fox,1969-07-24
297,Alonzo Mourning,1970-02-08,mournal01,Alonzo Mourning,1970-02-08
299,Glenn Robinson,1973-01-10,robingl01,Glenn Robinson,1973-01-10
302,Mookie Blaylock,1967-03-20,blaylmo01,Mookie Blaylock,1967-03-20
304,John Stockton,1962-03-26,stockjo01,John Stockton,1962-03-26
305,Robert Parish,1953-08-30,parisro01,Robert Parish,1953-08-30
306,Steve Colter,1962-07-24,coltest01,Steve Colter,1962-07-24
308,Derrick Alston,1972-08-20,alstode01,Derrick Alston,1972-08-20
310,Bobby Hurley,1971-06-28,hurlebo01,Bobby Hurley,1971-06-28
313,Vern Fleming,1962-02-04,flemive01,Vern Fleming,1962-02-04
316,Richard Manning,1970-06-23,manniri01,Rich Manning,1970-06-23
317,John Starks,1965-08-10,starkjo01,John Starks,1965-08-10
320,Jamie Watson,1972-02-23,watsoja01,Jamie Watson,1972-02-23
321,Scott Haskin,1970-09-19,haskisc01,Scott Haskin,1970-09-19
323,Greg Foster,1968-10-03,fostegr01,Greg Foster,1968-10-03
324,Anthony Peeler,1969-11-25,peelean01,Anthony Peeler,1969-11-25
328,Rick Mahorn,1958-09-21,mahorri01,Rick Mahorn,1958-09-21
330,Danny Manning,1966-05-17,mannida01,Danny Manning,1966-05-17
333,Kevin Gamble,1965-11-13,gamblke01,Kevin Gamble,1965-11-13
335,Willie Anderson,1967-01-08,anderwi01,Willie Anderson,1967-01-08
339,Tom Gugliotta,1969-12-19,guglito01,Tom Gugliotta,1969-12-19
340,Kevin Pritchard,1967-07-17,pritcke01,Kevin Pritchard,1967-07-17
341,Joe Wolf,1964-12-17,wolfjo01,Joe Wolf,1964-12-17
342,Andy Toolson,1966-01-19,toolsan01,Andy Toolson,1966-01-19
344,Dana Barros,1967-04-13,barroda01,Dana Barros,1967-04-13
345,Terry Porter,1963-04-08,portete01,Terry Porter,1963-04-08
346,Doug Edwards,1971-01-21,edwardo01,Doug Edwards,1971-01-21
348,Mitchell Butler,1970-12-15,butlemi02,Mitchell Butler,1970-12-15
349,Mark Jackson,1965-04-01,jacksma01,Mark Jackson,1965-04-01
351,Stacey King,1967-01-29,kingst01,Stacey King,1967-01-29
353,Darrell Armstrong,1968-06-22,armstda01,Darrell Armstrong,1968-06-22
355,Vincent Askew,1966-02-28,askewvi01,Vincent Askew,1966-02-28
356,Chris Morris,1966-01-20,morrich01,Chris Morris,1966-01-20
357,Greg Sutton,1967-12-03,suttogr01,Greg Sutton,1967-12-03
358,Anfernee Hardaway,1971-07-18,hardaan01,Anfernee Hardaway,1971-07-18
359,Chucky Brown,1968-02-29,brownch01,Chucky Brown,1968-02-29
361,Clifford Robinson,1966-12-16,robincl02,Clifford Robinson,1966-12-16
363,Christian Laettner,1969-08-17,laettch01,Christian Laettner,1969-08-17
364,Rex Chapman,1967-10-05,chapmre01,Rex Chapman,1967-10-05
365,Derrick McKey,1966-10-10,mckeyde01,Derrick McKey,1966-10-10
368,Dwayne Schintzius,1968-10-14,schindw01,Dwayne Schintzius,1968-10-14
369,Charlie Ward,1970-10-12,wardch01,Charlie Ward,1970-10-12
371,Terry Mills,1967-12-21,millste01,Terry Mills,1967-12-21
375,Isaiah Rider,1971-03-12,rideris01,Isaiah Rider,1971-03-12
376,Eric Montross,1971-09-23,montrer01,Eric Montross,1971-09-23
378,Craig Ehlo,1961-08-11,ehlocr01,Craig Ehlo,1961-08-11
380,Tony Smith,1968-06-14,smithto02,Tony Smith,1968-06-14
381,James Robinson,1970-08-31,robinja02,James Robinson,1970-08-31
383,Kendall Gill,1968-05-25,gillke01,Kendall Gill,1968-05-25
384,Calbert Cheaney,1971-07-17,cheanca01,Calbert Cheaney,1971-07-17
386,Elliot Perry,1969-03-28,perryel01,Elliot Perry,1969-03-28
389,Toni Kukoc,1968-09-18,kukocto01,Toni Kukoc,1968-09-18
390,Sasha Danilovic,1970-02-26,danilsa01,Sasha Danilovic,1970-02-26
393,Rod Strickland,1966-07-11,stricro02,Rod Strickland,1966-07-11
397,Reggie Miller,1965-08-24,millere01,Reggie Miller,1965-08-24
399,Sean Rooks,1969-09-09,rooksse01,Sean Rooks,1969-09-09
400,Derek Strong,1968-02-09,stronde01,Derek Strong,1968-02-09
402,Jon Koncak,1963-05-17,koncajo01,Jon Koncak,1963-05-17
404,Kevin Duckworth,1964-04-01,duckwke01,Kevin Duckworth,1964-04-01
406,Shaquille O'Neal,1972-03-06,onealsh01,Shaquille O'Neal,1972-03-06
412,Sharone Wright,1973-01-30,wrighsh01,Sharone Wright,1973-01-30
416,Willie Burton,1968-05-26,burtowi01,Willie Burton,1968-05-26
417,Sam Mitchell,1963-09-02,mitchsa01,Sam Mitchell,1963-09-02
418,Scott Brooks,1965-07-31,brooksc01,Scott Brooks,1965-07-31
420,Jayson Williams,1968-02-22,willija01,Jayson Williams,1968-02-22
422,Avery Johnson,1965-03-25,johnsav01,Avery Johnson,1965-03-25
423,Chris Gatling,1967-09-03,gatlich01,Chris Gatling,1967-09-03
426,Terry Davis,1967-06-17,daviste01,Terry Davis,1967-06-17
428,Sherman Douglas,1966-09-15,douglsh01,Sherman Douglas,1966-09-15
431,Shawn Kemp,1969-11-26,kempsh01,Shawn Kemp,1969-11-26
432,Pete Chilcutt,1968-09-14,chilcpe01,Pete Chilcutt,1968-09-14
433,Buck Williams,1960-03-08,willibu01,Buck Williams,1960-03-08
434,Tony Dumas,1972-08-25,dumasto01,Tony Dumas,1972-08-25
435,Carlos Rogers,1971-02-06,rogerca01,Carlos Rogers,1971-02-06
436,Juwan Howard,1973-02-07,howarju01,Juwan Howard,1973-02-07
438,Robert Werdann,1970-09-12,werdaro01,Robert Werdann,1970-09-12
440,Zan Tabak,1970-06-15,tabakza01,an Tabak,1970-06-15
441,Lamond Murray,1973-04-20,murrala01,Lamond Murray,1973-04-20
442,Pervis Ellison,1967-04-03,ellispe01,Pervis Ellison,1967-04-03
445,Wesley Person,1971-03-28,persowe01,Wesley Person,1971-03-28
446,Lucious Harris,1970-12-18,harrilu01,Lucious Harris,1970-12-18
448,Bo Outlaw,1971-04-13,outlabo01,Bo Outlaw,1971-04-13
452,Vin Baker,1971-11-23,bakervi01,Vin Baker,1971-11-23
456,Chuck Person,1964-06-27,persoch01,Chuck Person,1964-06-27
457,Andrew Lang,1966-06-28,langan01,Andrew Lang,1966-06-28
458,Howard Eisley,1972-12-04,eisleho01,Howard Eisley,1972-12-04
460,Trevor Ruffin,1970-09-26,ruffitr01,Trevor Ruffin,1970-09-26
461,Popeye Jones,1970-06-17,jonespo01,Popeye Jones,1970-06-17
462,J.R. Reid,1968-03-31,reidjr01,J.R. Reid,1968-03-31
467,Jason Kidd,1973-03-23,kiddja01,Jason Kidd,1973-03-23
468,Jon Barry,1969-07-25,barryjo01,Jon Barry,1969-07-25
469,Jamal Mashburn,1972-11-29,mashbja01,Jamal Mashburn,1972-11-29
470,Doc Rivers,1961-10-13,riverdo01,Doc Rivers,1961-10-13
474,Stefano Rusconi,1968-10-02,ruscost01,Stefano Rusconi,1968-10-02
475,Doug Smith,1969-09-17,smithdo03,Doug Smith,1969-09-17
511,Melvin Booker,1972-08-20,bookeme01,Melvin Booker,1972-08-20
671,Donnie Boyce,1973-09-02,boycedo01,Donnie Boyce,1973-09-02
672,Matt Bullard,1967-06-05,bullama01,Matt Bullard,1967-06-05
673,Alan Henderson,1972-12-02,hendeal01,Alan Henderson,1972-12-02
674,Reggie Jordan,1968-01-26,jordare01,Reggie Jordan,1968-01-26
675,Junior Burrough,1973-01-18,burroju01,Junior Burrough,1973-01-18
676,Thomas Hamilton,1975-04-03,hamilth01,Thomas Hamilton,1975-04-03
677,Eric Williams,1972-07-17,willier01,Eric Williams,1972-07-17
678,George Zidek,1973-08-02,zidekge01,George Zidek,1973-08-02
679,Jason Caffey,1973-06-12,caffeja01,Jason Caffey,1973-06-12
680,John Amaechi,1970-11-26,amaecjo01,John Amaechi,1970-11-26
681,Donny Marshall,1972-07-17,marshdo02,Donny Marshall,1972-07-17
682,Bob Sura,1973-03-25,surabo01,Bob Sura,1973-03-25
683,Darryl Johnson,1965-10-26,johnsda02,Darryl Johnson,1965-10-26
684,Loren Meyer,1972-12-30,meyerlo01,Loren Meyer,1972-12-30
685,Cherokee Parks,1972-10-11,parksch02,Cherokee Parks,1972-10-11
686,Antonio McDyess,1974-09-07,mcdyean01,Antonio McDyess,1974-09-07
687,Rastko Cvetkovic,1970-06-22,cvetkra01,Rastko Cvetkovic,1970-06-22
688,Michael Curry,1968-08-22,currymi01,Michael Curry,1968-08-22
689,Theo Ratliff,1973-04-17,ratlith01,Theo Ratliff,1973-04-17
690,Don Reid,1973-12-30,reiddo01,Don Reid,1973-12-30
691,Lou Roe,1972-07-14,roelo01,Lou Roe,1972-07-14
692,Andrew DeClercq,1973-02-01,declean01,Andrew DeClercq,1973-02-01
693,Joe Smith,1975-07-26,smithjo02,Joe Smith,1975-07-26
694,Sam Mack,1970-05-26,macksa01,Sam Mack,1970-05-26
695,Eldridge Recasner,1967-12-14,recasel01,Eldridge Recasner,1967-12-14
696,Travis Best,1972-07-12,besttr01,Travis Best,1972-07-12
697,Fred Hoiberg,1972-10-15,hoibefr01,Fred Hoiberg,1972-10-15
698,Eddie Johnson,1959-05-01,johnsed03,Eddie Johnson,1959-05-01
699,Brent Barry,1971-12-31,barrybr01,Brent Barry,1971-12-31
700,Keith Tower,1970-05-15,towerke01,Keith Tower,1970-05-15
701,Frankie King,1972-06-06,kingfr01,Frankie King,1972-06-06
702,Voshon Lenard,1973-05-14,lenarvo01,Voshon Lenard,1973-05-14
703,Kurt Thomas,1972-10-04,thomaku01,Kurt Thomas,1972-10-04
704,Shawn Respert,1972-02-06,respesh01,Shawn Respert,1972-02-06
705,Randolph Keys,1966-04-19,keysra01,Randolph Keys,1966-04-19
706,Jerome Allen,1973-01-28,allenje01,Jerome Allen,1973-01-28
707,Mark Davis,1973-04-26,davisma02,Mark Davis,1973-04-26
708,Kevin Garnett,1976-05-19,garneke01,Kevin Garnett,1976-05-19
709,Ed O'Bannon,1972-08-14,obanned01,Ed O'Bannon,1972-08-14
710,David Vaughn,1973-03-23,vaughda02,David Vaughn,1973-03-23
711,Jerry Stackhouse,1974-11-05,stackje01,Jerry Stackhouse,1974-11-05
712,Mario Bennett,1973-08-01,bennema01,Mario Bennett,1973-08-01
713,Chris Carr,1974-03-12,carrch01,Chris Carr,1974-03-12
714,Michael Finley,1973-03-06,finlemi01,Michael Finley,1973-03-06
715,John Coker,1971-10-28,cokerjo01,John Coker,1971-10-28
716,Rumeal Robinson,1966-11-13,robinru01,Rumeal Robinson,1966-11-13
717,Arvydas Sabonis,1964-12-19,sabonar01,Arvydas Sabonis,1964-12-19
718,Gary Trent,1974-09-22,trentga01,Gary Trent,1974-09-22
719,Randolph Childress,1972-09-21,childra01,Randolph Childress,1972-09-21
720,Terrence Rencher,1973-02-19,renchte01,Terrence Rencher,1973-02-19
721,Tyus Edney,1973-02-14,edneyty01,Tyus Edney,1973-02-14
722,Corliss Williamson,1973-12-04,willico02,Corliss Williamson,1973-12-04
723,Clint McDaniel,1972-02-26,mcdancl01,Clint McDaniel,1972-02-26
724,Cory Alexander,1973-06-22,alexaco01,Cory Alexander,1973-06-22
725,Dell Demps,1970-02-12,dempsde01,Dell Demps,1970-02-12
726,Sherell Ford,1972-08-26,fordsh01,Sherell Ford,1972-08-26
727,Eric Snow,1973-04-24,snower01,Eric Snow,1973-04-24
728,Jimmy King,1973-08-09,kingji02,Jimmy King,1973-08-09
729,Martin Lewis,1975-04-28,lewisma01,Martin Lewis,1975-04-28
730,Dwayne Whitfield,1972-08-21,whitfdw01,Dwayne Whitfield,1972-08-21
731,Greg Ostertag,1973-03-06,ostergr01,Greg Ostertag,1973-03-06
732,Ashraf Amaya,1971-11-23,amayaas01,Ashraf Amaya,1971-11-23
733,Cuonzo Martin,1971-09-23,marticu01,Cuonzo Martin,1971-09-23
734,Lawrence Moten,1972-03-25,motenla01,Lawrence Moten,1972-03-25
735,Bryant Reeves,1973-06-08,reevebr01,Bryant Reeves,1973-06-08
736,Cedric Lewis,1969-09-24,lewisce01,Cedric Lewis,1969-09-24
737,Bob McCann,1964-04-22,mccanbo01,Bob McCann,1964-04-22
738,Bob Thornton,1962-07-10,thornbo01,Bob Thornton,1962-07-10
739,Rasheed Wallace,1974-09-17,wallara01,Rasheed Wallace,1974-09-17
753,Randy Brown,1968-05-22,brownra02,Randy Brown,1968-05-22
754,Jim Jackson,1970-10-14,jacksji01,Jim Jackson,1970-10-14
757,Damon Stoudamire,1973-09-03,stoudda01,Damon Stoudamire,1973-09-03
760,Jerome Kersey,1962-06-26,kerseje01,Jerome Kersey,1962-06-26
761,Matt Geiger,1969-09-10,geigema01,Matt Geiger,1969-09-10
762,Shawn Bradley,1972-03-22,bradlsh01,Shawn Bradley,1972-03-22
763,Tony Massenburg,1967-07-31,masseto01,Tony Massenburg,1967-07-31
764,David Robinson,1965-08-06,robinda01,David Robinson,1965-08-06
765,Hersey Hawkins,1966-09-29,hawkihe01,Hersey Hawkins,1966-09-29
766,David Wingate,1963-12-15,wingada01,David Wingate,1963-12-15
767,Terry Catledge,1963-08-22,catlete01,Terry Catledge,1963-08-22
768,Acie Earl,1970-06-23,earlac01,Acie Earl,1970-06-23
769,B.J. Armstrong,1967-09-09,armstbj01,B.J. Armstrong,1967-09-09
770,Mark West,1960-11-05,westma01,Mark West,1960-11-05
771,Elmore Spencer,1969-12-06,spencel01,Elmore Spencer,1969-12-06
777,Rex Walters,1970-03-12,waltere01,Rex Walters,1970-03-12
779,Glen Rice,1967-05-28,ricegl01,Glen Rice,1967-05-28
780,Byron Houston,1969-11-22,houstby01,Byron Houston,1969-11-22
781,Will Perdue,1965-08-29,perduwi01,Will Perdue,1965-08-29
782,Mitch Richmond,1965-06-30,richmmi01,Mitch Richmond,1965-06-30
783,Frank Brickowski,1959-08-14,brickfr01,Frank Brickowski,1959-08-14
785,Eric Murdock,1968-06-14,murdoer01,Eric Murdock,1968-06-14
786,Gerald Wilkins,1963-09-11,wilkige01,Gerald Wilkins,1963-09-11
787,Charles Barkley,1963-02-20,barklch01,Charles Barkley,1963-02-20
788,Kevin Willis,1962-09-06,willike02,Kevin Willis,1962-09-06
