PlayerNBAId,PlayerNBAName,PlayerNBABirthDate,PlayerBREFId,PlayerBREFName,PlayerBREFBirthDate
203928,Cory Jefferson,1990-12-26,jeffeco01,Cory Jefferson,1990-12-26
203930,Sean Kilpatrick,1990-01-06,kilpase01,Sean Kilpatrick,1990-01-06
203932,Aaron Gordon,1995-09-16,gordoaa01,Aaron Gordon,1995-09-16
203933,T.J. Warren,1993-09-05,warretj01,T.J. Warren,1993-09-05
203934,Lamar Patterson,1991-08-12,pattela01,Lamar Patterson,1991-08-12
203935,Marcus Smart,1994-03-06,smartma01,Marcus Smart,1994-03-06
203937,Kyle Anderson,1993-09-20,anderky01,Kyle Anderson,1993-09-20
203939,Dwight Powell,1991-07-20,poweldw01,Dwight Powell,1991-07-20
203940,Adreian Payne,1991-02-19,paynead01,Adreian Payne,1991-02-19
203943,Noah Vonleh,1995-08-24,vonleno01,Noah Vonleh,1995-08-24
203944,Julius Randle,1994-11-29,randlju01,Julius Randle,1994-11-29
203945,Alex Kirk,1991-11-14,kirkal01,Alex Kirk,1991-11-14
203946,Cameron Bairstow,1990-12-07,bairsca01,Cameron Bairstow,1990-12-07
203948,Johnny O'Bryant III,1993-06-01,obryajo01,Johnny O'Bryant,1993-06-01
203949,James Michael McAdoo,1993-01-04,mcadoja01,James Michael McAdoo,1993-01-04
203950,Jarnell Stokes,1994-01-07,stokeja01,Jarnell Stokes,1994-01-07
203951,Keith Appling,1992-02-13,applike01,Keith Appling,1992-02-13
203952,Andrew Wiggins,1995-02-23,wiggian01,Andrew Wiggins,1995-02-23
203953,Jabari Parker,1995-03-15,parkeja01,Jabari Parker,1995-03-15
203954,Joel Embiid,1994-03-16,embiijo01,Joel Embiid,1994-03-16
203955,Bryce Cotton,1992-08-11,cottobr01,Bryce Cotton,1992-08-11
203956,Mitch McGary,1992-06-06,mcgarmi01,Mitch McGary,1992-06-06
203957,Dante Exum,1995-07-13,exumda01,Dante Exum,1995-07-13
203958,Andre Dawkins,1991-09-19,dawkian01,Andre Dawkins,1991-09-19
203960,JaKarr Sampson,1993-03-20,sampsja02,JaKarr Sampson,1993-03-20
203961,Eric Moreland,1991-12-24,moreler01,Eric Moreland,1991-12-24
203962,Josh Huestis,1991-12-19,huestjo01,Josh Huestis,1991-12-19
203963,Shayne Whittington,1991-03-27,whittsh01,Shayne Whittington,1991-03-27
203966,Jamil Wilson,1990-11-21,wilsoja02,Jamil Wilson,1990-11-21
203967,Dario Saric,1994-04-08,saricda01,Dario aric,1994-04-08
203968,Jerrelle Benimon,1991-08-01,benimje01,Jerrelle Benimon,1991-08-01
203991,Clint Capela,1994-05-18,capelca01,Clint Capela,1994-05-18
203992,Bogdan Bogdanovic,1992-08-18,bogdabo01,Bogdan Bogdanovic,1992-08-18
203994,Jusuf Nurkic,1994-08-23,nurkiju01,Jusuf Nurkic,1994-08-23
203996,Damien Inglis,1995-05-20,inglida01,Damien Inglis,1995-05-20
203998,Bruno Caboclo,1995-09-21,cabocbr01,Bruno Caboclo,1995-09-21
203999,Nikola Jokic,1995-02-19,jokicni01,Nikola Jokic,1995-02-19
204001,Kristaps Porzingis,1995-08-02,porzikr01,Kristaps Porzingis,1995-08-02
204002,Edy Tavares,1992-03-22,tavarwa01,Edy Tavares,1992-03-22
204014,Damjan Rudez,1986-06-17,rudezda01,Damjan Rude,1986-06-17
204020,Tyler Johnson,1992-05-07,johnsty01,Tyler Johnson,1992-05-07
204021,Sim Bhullar,1992-12-02,bhullsi01,Sim Bhullar,1992-12-02
204022,Jack Cooley,1991-04-04,cooleja01,Jack Cooley,1991-04-04
204025,Tim Frazier,1990-11-01,fraziti01,Tim Frazier,1990-11-01
204028,Tarik Black,1991-11-22,blackta01,Tarik Black,1991-11-22
204033,David Wear,1990-09-21,wearda01,David Wear,1990-09-21
204037,Travis Wear,1990-09-21,weartr01,Travis Wear,1990-09-21
204038,Langston Galloway,1991-12-09,gallola01,Langston Galloway,1991-12-09
204054,Zoran Dragic,1989-06-22,dragizo01,Zoran Dragic,1989-06-22
204060,Joe Ingles,1987-10-02,inglejo01,Joe Ingles,1987-10-02
204065,David Stockton,1991-06-24,stockda01,David Stockton,1991-06-24
204066,John Holland,1988-11-06,hollajo02,John Holland,1988-11-06
204067,Jarell Eddie,1991-10-30,eddieja01,Jarell Eddie,1991-10-30
204079,Drew Gordon,1990-07-12,gordodr01,Drew Gordon,1990-07-12
204098,Xavier Munford,1992-06-01,munfoxa02,Xavier Munford,1992-06-01
204179,Omari Johnson,1989-11-26,johnsom01,Omari Johnson,1989-11-26
204222,Greg Whittington,1993-02-07,whittgr01,Greg Whittington,
204456,T.J. McConnell,1992-03-25,mccontj01,T.J. McConnell,1992-03-25
600001,Nate Thurmond,1941-07-25,thurmna01,Nate Thurmond,1941-07-25
600003,Bob Cousy,1928-08-09,cousybo01,Bob Cousy,1928-08-09
600005,Bob Lanier,1948-09-10,laniebo01,Bob Lanier,1948-09-10
600006,Earl Monroe,1944-11-21,monroea01,Earl Monroe,1944-11-21
600009,Rory Sparrow,1958-06-12,sparrro01,Rory Sparrow,1958-06-12
600010,Len Elmore,1952-03-28,elmorle01,Len Elmore,1952-03-28
600011,Lamar Green,1947-03-22,greenla01,Lamar Green,1947-03-22
600012,George Mikan,1924-06-18,mikange01,George Mikan,1924-06-18
600013,Rick Barry,1944-03-28,barryri01,Rick Barry,1944-03-28
600014,Artis Gilmore,1949-09-21,gilmoar01,Artis Gilmore,1949-09-21
